BinStart(mHz),BinEnd(mHz),BinCenter(mHz),Count
0.000000,0.010000,0.005000,980
0.010000,0.020000,0.015000,511
0.020000,0.030000,0.025000,510
0.030000,0.040000,0.035000,828
0.040000,0.050000,0.045000,1103
0.050000,0.060000,0.055000,598
0.060000,0.070000,0.065000,461
0.070000,0.080000,0.075000,624
0.080000,0.090000,0.085000,1274
0.090000,0.100000,0.095000,533
0.100000,0.110000,0.105000,426
0.110000,0.120000,0.115000,563
0.120000,0.130000,0.125000,1094
0.130000,0.140000,0.135000,675
0.140000,0.150000,0.145000,469
0.150000,0.160000,0.155000,454
0.160000,0.170000,0.165000,1044
0.170000,0.180000,0.175000,717
0.180000,0.190000,0.185000,431
0.190000,0.200000,0.195000,477
0.200000,0.210000,0.205000,804
0.210000,0.220000,0.215000,910
0.220000,0.230000,0.225000,479
0.230000,0.240000,0.235000,437
0.240000,0.250000,0.245000,640
0.250000,0.260000,0.255000,997
0.260000,0.270000,0.265000,444
0.270000,0.280000,0.275000,414
0.280000,0.290000,0.285000,575
0.290000,0.300000,0.295000,846
0.300000,0.310000,0.305000,525
0.310000,0.320000,0.315000,374
0.320000,0.330000,0.325000,494
0.330000,0.340000,0.335000,846
0.340000,0.350000,0.345000,507
0.350000,0.360000,0.355000,346
0.360000,0.370000,0.365000,431
0.370000,0.380000,0.375000,690
0.380000,0.390000,0.385000,617
0.390000,0.400000,0.395000,361
0.400000,0.410000,0.405000,362
0.410000,0.420000,0.415000,650
0.420000,0.430000,0.425000,636
0.430000,0.440000,0.435000,346
0.440000,0.450000,0.445000,361
0.450000,0.460000,0.455000,507
0.460000,0.470000,0.465000,653
0.470000,0.480000,0.475000,390
0.480000,0.490000,0.485000,335
0.490000,0.500000,0.495000,518
0.500000,0.510000,0.505000,583
0.510000,0.520000,0.515000,418
0.520000,0.530000,0.525000,306
0.530000,0.540000,0.535000,430
0.540000,0.550000,0.545000,577
0.550000,0.560000,0.555000,438
0.560000,0.570000,0.565000,295
0.570000,0.580000,0.575000,386
0.580000,0.590000,0.585000,506
0.590000,0.600000,0.595000,404
0.600000,0.610000,0.605000,272
0.610000,0.620000,0.615000,337
0.620000,0.630000,0.625000,430
0.630000,0.640000,0.635000,437
0.640000,0.650000,0.645000,258
0.650000,0.660000,0.655000,220
0.660000,0.670000,0.665000,391
0.670000,0.680000,0.675000,383
0.680000,0.690000,0.685000,302
0.690000,0.700000,0.695000,233
0.700000,0.710000,0.705000,268
0.710000,0.720000,0.715000,356
0.720000,0.730000,0.725000,284
0.730000,0.740000,0.735000,204
0.740000,0.750000,0.745000,275
0.750000,0.760000,0.755000,292
0.760000,0.770000,0.765000,237
0.770000,0.780000,0.775000,174
0.780000,0.790000,0.785000,210
0.790000,0.800000,0.795000,238
0.800000,0.810000,0.805000,242
0.810000,0.820000,0.815000,157
0.820000,0.830000,0.825000,166
0.830000,0.840000,0.835000,209
0.840000,0.850000,0.845000,182
0.850000,0.860000,0.855000,146
0.860000,0.870000,0.865000,144
0.870000,0.880000,0.875000,153
0.880000,0.890000,0.885000,173
0.890000,0.900000,0.895000,144
0.900000,0.910000,0.905000,104
0.910000,0.920000,0.915000,136
0.920000,0.930000,0.925000,139
0.930000,0.940000,0.935000,108
0.940000,0.950000,0.945000,111
0.950000,0.960000,0.955000,111
0.960000,0.970000,0.965000,114
0.970000,0.980000,0.975000,98
0.980000,0.990000,0.985000,82
0.990000,1.000000,0.995000,84
1.000000,1.010000,1.005000,86
1.010000,1.020000,1.015000,72
1.020000,1.030000,1.025000,62
1.030000,1.040000,1.035000,69
1.040000,1.050000,1.045000,61
1.050000,1.060000,1.055000,88
1.060000,1.070000,1.065000,54
1.070000,1.080000,1.075000,54
1.080000,1.090000,1.085000,54
1.090000,1.100000,1.095000,61
1.100000,1.110000,1.105000,58
1.110000,1.120000,1.115000,45
1.120000,1.130000,1.125000,44
1.130000,1.140000,1.135000,49
1.140000,1.150000,1.145000,47
1.150000,1.160000,1.155000,50
1.160000,1.170000,1.165000,50
1.170000,1.180000,1.175000,38
1.180000,1.190000,1.185000,47
1.190000,1.200000,1.195000,42
1.200000,1.210000,1.205000,34
1.210000,1.220000,1.215000,33
1.220000,1.230000,1.225000,34
1.230000,1.240000,1.235000,34
1.240000,1.250000,1.245000,17
1.250000,1.260000,1.255000,24
1.260000,1.270000,1.265000,23
1.270000,1.280000,1.275000,22
1.280000,1.290000,1.285000,14
1.290000,1.300000,1.295000,20
1.300000,1.310000,1.305000,17
1.310000,1.320000,1.315000,22
1.320000,1.330000,1.325000,19
1.330000,1.340000,1.335000,14
1.340000,1.350000,1.345000,12
1.350000,1.360000,1.355000,22
1.360000,1.370000,1.365000,17
1.370000,1.380000,1.375000,17
1.380000,1.390000,1.385000,18
1.390000,1.400000,1.395000,14
1.400000,1.410000,1.405000,10
1.410000,1.420000,1.415000,19
1.420000,1.430000,1.425000,7
1.430000,1.440000,1.435000,13
1.440000,1.450000,1.445000,10
1.450000,1.460000,1.455000,5
1.460000,1.470000,1.465000,5
1.470000,1.480000,1.475000,4
1.480000,1.490000,1.485000,3
1.490000,1.500000,1.495000,2
